Peak Method: Gauss
File Time(Hrs) PeakHeight_E2_30Hz PeakLocation_E2_30Hz PeakHeight_E2_100Hz PeakLocation_E2_100Hz Norm_E2_30Hz Norm_E2_100Hz NormalizedRatio_E2 KDM_E2
1 0.0 1.3330025497284201 -0.30682922833334925 2.3863129245407464 -0.307920941619814 1.0 1.0 1.0 1.0
2 0.0 1.317380813257746 -0.30652771214881724 2.359122609958145 -0.30773271935018426 0.9882807902551598 0.9886057212769637 1.0003287841117705 1.0003287300711583
3 0.0 1.3022336955729765 -0.306357782659686 2.3324553422642285 -0.3075518319340409 0.9769176329319758 0.9774306287651344 1.0005251167712257 1.0005249789336044
4 0.001 1.2883207437910476 -0.30622524375219823 2.308998254671104 -0.3074359489781181 0.9664803297289447 0.9676007831686526 1.0011593132371583 1.001158641622873
5 0.001 1.2761766995858619 -0.30608614660160677 2.2869716607877497 -0.3073380947943272 0.9573700364233094 0.95837039529419 1.0010449030498363 1.0010443574237078
6 0.001 1.264545527115737 -0.30601631860138356 2.2644649530496967 -0.30723240804063506 0.9486444923705284 0.9489388125765192 1.0003102534282946 1.0003102053071646
7 0.001 1.252482141173164 -0.30592797095691915 2.24251073343491 -0.3071283809458705 0.9395947077733189 0.9397387536114897 1.0001533063532384 1.00015329460272
8 0.001 1.2416707091038068 -0.3058037837444616 2.2219654586316406 -0.30700623322015463 0.931484121584598 0.9311291221620757 0.9996188883800633 0.9996188157431886
9 0.001 1.23013167817006 -0.30569354980026586 2.201236877866318 -0.30696943524031517 0.9228277008327413 0.9224426751533239 0.9995827762007252 0.9995826891447149
10 0.0 1.2185442331817071 -0.3057069545195349 2.181772060173923 -0.306954692620894 0.9141349605294962 0.9142858163054252 1.0001650257155044 1.0001650120998844
11 0.0 1.208460114097014 -0.3056547234442976 2.1626904560453366 -0.306918555063272 0.9065699944409109 0.9062895456016329 0.999690648443035 0.9996906005864399
12 0.0 1.1994887609143903 -0.3056380234182302 2.1427091737384982 -0.3068936818648734 0.8998398098779096 0.8979162588874925 0.9978623406418549 0.9978600534034208
13 0.0 1.1877992044504482 -0.3056008946766019 2.1243143484987446 -0.30684702531712643 0.8910704669638067 0.8902077873578025 0.9990318615216329 0.9990313926486093
14 0.0 1.1770528054488965 -0.30554963426651716 2.1060390841476457 -0.3067778456131931 0.8830086676793708 0.8825494185985518 0.9994799042210697 0.9994797689360795
15 0.0 1.167185648849119 -0.30548687849953204 2.0877072033623194 -0.3067173516072288 0.8756064638337835 0.8748673243531568 0.9991558542437086 0.9991554978022353
16 0.0 1.157336607965496 -0.30542127694228977 2.0698661813979924 -0.30667464684143286 0.8682178501468633 0.8673909276992013 0.9990475634110471 0.9990471096272189
17 0.0 1.1482296816232431 -0.3054140386255281 2.0524126215674374 -0.30666056805080366 0.8613859604823548 0.8600768995803142 0.9984802853051986 0.9984791296606969
18 0.0 1.1382700203372922 -0.30541003742764483 2.0356739794436223 -0.3065574888358111 0.8539143609059099 0.8530624623907589 0.999002360711855 0.9990018628214228
19 0.0 1.1285868934083516 -0.30528189996232385 2.0179697347389554 -0.30637904566637664 0.8466502135635711 0.845643383139837 0.9988108070988416 0.9988100995882803
20 0.0 1.1190669955137535 -0.30513271958472316 2.000527072068978 -0.30618029802367025 0.8395085183758629 0.8383339215471859 0.9986008518043993 0.9985998723113346
21 0.0 1.1098643611457983 -0.30486688678983687 1.9837003539104925 -0.30595797883644754 0.8326048298796705 0.8312825755206694 0.9984119064512367 0.9984106444285717
22 0.0 1.102815046531836 -0.3047460397616084 1.9670079897095234 -0.30585148798523937 0.8273165319575109 0.8242875313966128 0.9963387646156047 0.9963320500014432
23 0.0 1.094130953355986 -0.3046736964081957 1.9516037293914914 -0.3058228242864236 0.8208018458621097 0.81783227560865 0.9963821106538319 0.9963755542319669
24 0.0 1.0862023224375255 -0.3046711344177203 1.9357554862075885 -0.305755008267068 0.8148538970603044 0.811190965904076 0.9955048001004316 0.9954946739297824
25 0.0 1.0777723272412882 -0.3046212803858694 1.9196747547925963 -0.3057203542502769 0.8085298317402834 0.8044522304894459 0.9949567708070081 0.9949440215780196
26 0.0 1.069765219375282 -0.30452342037438035 1.9049372712888655 -0.3056353528765593 0.8025230106223211 0.798276391875754 0.9947084149733302 0.9946943773967679
27 0.0 1.0614111201677514 -0.3044301030780939 1.8888575531839182 -0.3055655132019352 0.7962558814189804 0.7915380810953094 0.9940750198098838 0.9940574149605654
28 0.0 1.0536157367208812 -0.3042835769705911 1.873697014887842 -0.30539590754642065 0.7904078930198146 0.7851849586107577 0.9933921024129676 0.9933701978862728
29 0.0 1.0441182782194585 -0.30406400371979597 1.8587546310699101 -0.30507078974395146 0.7832830315532272 0.778923255183573 0.9944339706159484 0.9944184370442382
30 0.0 1.035306080235837 -0.30383556141197415 1.8427353771827382 -0.3050397131125301 0.7766722430101619 0.7722102823280725 0.9942550274942283 0.9942384776003397
31 0.0 1.0262662706059045 -0.3037585272570282 1.827843812973331 -0.3050144398878941 0.7698907033711161 0.7659698751894014 0.9949072924708058 0.9948942915308244
32 0.0 1.0191914201192176 -0.3038518298943483 1.8139070315824584 -0.3051272118411013 0.7645832487918819 0.7601295760201067 0.9941750322429735 0.9941580175633081
33 0.0 1.0118102283332953 -0.3039609953368688 1.8002132913134201 -0.3052275711351986 0.7590459812244447 0.7543911248185847 0.9938674908753867 0.9938486292066271
34 0.0 1.0066618511359269 -0.30407410073563645 1.7856373006386181 -0.3053230324174517 0.7551837401518996 0.7482829608284797 0.990862118771212 0.9908201767037207
35 0.0 0.9997599980612979 -0.304157550956759 1.7717620750496454 -0.3054064549772184 0.7500060658285945 0.7424684570195783 0.9899499362039308 0.9898991792575035
36 0.0 0.9918789407106591 -0.30423559818210255 1.7579453955293376 -0.3054261586790884 0.7440938060566651 0.7366784873227219 0.9900344302377132 0.9899845252817094
37 0.001 0.9851401656102552 -0.30425080051693526 1.7443004079472029 -0.30539587285096503 0.7390384705647887 0.7309604662527229 0.989069575355269 0.9890095099938585
38 0.001 0.9765766190893036 -0.3042383082846077 1.730923270389397 -0.3053999387694294 0.7326142168957342 0.7253546894829473 0.990090927468556 0.9900415881559255
39 0.001 0.9686354910852188 -0.3042214961301673 1.7176001996272647 -0.30533077210834275 0.7266568929538538 0.7197715697566456 0.9905246571470347 0.9904795523944466
40 0.001 0.9609159335366688 -0.3041780337891673 1.7042784508830702 -0.30528264577425857 0.720865788090534 0.7141890040305858 0.9907378264161572 0.9906947329166722
41 0.001 0.953387362524521 -0.30412166122609097 1.6918104205417588 -0.30527225381961126 0.7152179586743925 0.7089641945711513 0.9912561422327368 0.9912177468465118
42 0.001 0.9455188590496633 -0.3041175411569076 1.6782833451351742 -0.30523338221477836 0.7093151166457251 0.7032955853676086 0.991513600744078 0.99147743781137
43 0.001 0.9395014764096358 -0.30408410356035004 1.6660549533070017 -0.30519800745875786 0.7048009597588883 0.6981711979905734 0.9905934268724846 0.9905489759982836
44 0.001 0.9293465362306967 -0.30406673958983577 1.6532077725040315 -0.3051503245970342 0.6971828646689667 0.6927875030564974 0.9936955398142834 0.9936756038624595
45 0.001 0.9244887280354642 -0.3040104047043845 1.6404475808024432 -0.3051433011226018 0.6935386044263872 0.6874402614728966 0.9912069163640366 0.9911680864869437
46 0.001 0.9171919541659684 -0.3040048480027074 1.6273232865777465 -0.30507636139113586 0.6880646660074529 0.6819404403514807 0.9910993458049395 0.991059557913257
47 0.001 0.9116325692591756 -0.3039638370350372 1.616409448478187 -0.3050446500528226 0.6838940926593932 0.6773669252909361 0.9904558798818169 0.9904101163812284
48 0.001 0.9012919087179923 -0.3039519521907612 1.6040217000949721 -0.3049888728664301 0.6761366727330097 0.6721757585098238 0.9941418438269655 0.9941246344224018
49 0.001 0.8962765119824766 -0.3038904690225386 1.591698785401403 -0.30491732153174544 0.6723741917561072 0.6670117607093506 0.992024632842092 0.991992702272432
50 0.001 0.8898448696167733 -0.30383724077961366 1.5804296705176446 -0.3048736014580219 0.6675492629763283 0.6622893645944625 0.9921205839425032 0.9920894185612972
51 0.001 0.88223350141471 -0.30379902196482605 1.5683703189404155 -0.3047953860495576 0.6618393202582038 0.657235814637451 0.9930443757573109 0.993020100979893
52 0.001 0.8752233287663316 -0.30371966337497447 1.556347763077106 -0.3047464353893194 0.6565803860950196 0.6521976841644229 0.993324957578062 0.9933026048797902
53 0.001 0.8692238301687716 -0.30368146787098704 1.544112905560095 -0.3046663010131858 0.6520796455684674 0.647070587298296 0.9923183336510917 0.9922887158952846
54 0.001 0.8634397917489143 -0.3036037479997681 1.5337048536699935 -0.30460603772070444 0.6477405402749061 0.642709025248715 0.9922322060866289 0.9922019191441247
55 0.001 0.8564855222065277 -0.3035602000357742 1.52256486528613 -0.304558456940315 0.6425235438454518 0.6380407404360653 0.993023129732247 0.992998706172878
56 0.001 0.8503738024872411 -0.3035370567783218 1.5119306766744487 -0.30451784358974027 0.6379386165919131 0.6335844143179271 0.9931745748560455 0.9931512018765868
57 0.001 0.8448243940863797 -0.3035031368077426 1.5029461955550285 -0.3045081158047909 0.633775527480049 0.629819408887573 0.9937578552327417 0.9937383120514105
58 0.001 0.8390891869571646 -0.30345842316728183 1.4910051113447254 -0.304404504859505 0.6294730547425561 0.624815419642281 0.9926007395150854 0.9925732633355188
59 0.001 0.8332901354262771 -0.3033807565448807 1.4804009068209345 -0.30432477185670376 0.6251226868216027 0.620371658551798 0.9923998466701617 0.992370855335549
60 0.001 0.8275033853198142 -0.30331665999796364 1.4701922459593237 -0.30429452714768873 0.62078154725841 0.6160936526135888 0.9924483988521816 0.9924197774435024
61 0.001 0.8220632407689306 -0.3032751406567827 1.4606345501653375 -0.30424728340912116 0.6167004263693374 0.6120884378340453 0.9925215090859528 0.9924934402163841
62 0.001 0.816918788914325 -0.30323752880543253 1.4507953352247087 -0.3041958490789959 0.6128411300344176 0.6079652506193918 0.9920438117220494 0.9920120348446826
63 0.001 0.8108073952964493 -0.30321444949649856 1.4415387509799908 -0.3041436128043821 0.6082564474176283 0.6040862185991049 0.9931439628199122 0.9931203793524399
64 0.001 0.80514074287509 -0.3031261588895809 1.4320569602731557 -0.3040894682706653 0.6040054034698776 0.6001128123415581 0.9935553703560308 0.9935345365974779
65 0.001 0.8000130658541289 -0.303099861991798 1.421908215974675 -0.30404478131746315 0.6001586913821882 0.5958599148300409 0.9928372668531266 0.9928115222793038
66 0.001 0.7946890794649719 -0.3030546929099913 1.4134452719378785 -0.30397710381285237 0.5961647107328326 0.5923134629168136 0.9935399601038363 0.993519026429922
67 0.001 0.7905565644731772 -0.30299107204900577 1.4034384046639072 -0.3039309580180037 0.5930645553785637 0.5881200198980624 0.9916627364834758 0.9916278360148018
68 0.001 0.7845521644503521 -0.30296592631248953 1.3940005111080636 -0.3038788819792732 0.5885601378708489 0.5841650090280358 0.9925324048300098 0.9925044178434556
